x y
0.00 0.000173
13.09 0.000205
26.18 0.000241
39.27 0.000280
52.37 0.000322
65.46 0.000366
78.55 0.000413
91.64 0.000462
104.73 0.000513
117.82 0.000565
130.92 0.000619
144.01 0.000674
157.10 0.000729
170.19 0.000784
183.28 0.000839
196.37 0.000893
209.47 0.000945
222.56 0.000995
235.65 0.001042
248.74 0.001086
261.83 0.001125
274.92 0.001160
288.02 0.001190
301.11 0.001214
314.20 0.001234
327.29 0.001248
340.38 0.001257
353.47 0.001261
366.57 0.001260
379.66 0.001255
392.75 0.001247
405.84 0.001235
418.93 0.001220
432.02 0.001203
445.12 0.001185
458.21 0.001164
471.30 0.001143
484.39 0.001121
497.48 0.001098
510.57 0.001075
523.67 0.001052
536.76 0.001028
549.85 0.001005
562.94 0.000982
576.03 0.000960
589.12 0.000937
602.22 0.000916
615.31 0.000894
628.40 0.000873
641.49 0.000852
654.58 0.000831
667.67 0.000811
680.77 0.000791
693.86 0.000772
706.95 0.000752
720.04 0.000733
733.13 0.000713
746.22 0.000694
759.32 0.000675
772.41 0.000656
785.50 0.000638
798.59 0.000619
811.68 0.000602
824.77 0.000584
837.87 0.000567
850.96 0.000551
864.05 0.000535
877.14 0.000520
890.23 0.000506
903.32 0.000492
916.42 0.000479
929.51 0.000467
942.60 0.000455
955.69 0.000443
968.78 0.000432
981.87 0.000421
994.97 0.000410
1008.06 0.000399
1021.15 0.000389
1034.24 0.000378
1047.33 0.000368
1060.42 0.000358
1073.52 0.000348
1086.61 0.000338
1099.70 0.000328
1112.79 0.000318
1125.88 0.000308
1138.97 0.000298
1152.07 0.000289
1165.16 0.000279
1178.25 0.000270
1191.34 0.000261
1204.43 0.000252
1217.52 0.000243
1230.62 0.000235
1243.71 0.000227
1256.80 0.000219
1269.89 0.000212
1282.98 0.000205
1296.07 0.000199
1309.17 0.000193
1322.26 0.000188
1335.35 0.000182
1348.44 0.000177
1361.53 0.000173
1374.62 0.000169
1387.72 0.000164
1400.81 0.000161
1413.90 0.000157
1426.99 0.000153
1440.08 0.000150
1453.17 0.000146
1466.27 0.000143
1479.36 0.000139
1492.45 0.000135
1505.54 0.000132
1518.63 0.000128
1531.72 0.000124
1544.82 0.000120
1557.91 0.000116
1571.00 0.000112
1584.09 0.000108
1597.18 0.000104
1610.27 0.000100
1623.37 0.000096
1636.46 0.000093
1649.55 0.000089
1662.64 0.000085
1675.73 0.000082
1688.82 0.000078
1701.92 0.000075
1715.01 0.000072
1728.10 0.000069
1741.19 0.000066
1754.28 0.000064
1767.37 0.000061
1780.47 0.000059
1793.56 0.000058
1806.65 0.000056
1819.74 0.000055
1832.83 0.000053
1845.92 0.000052
1859.02 0.000051
1872.11 0.000050
1885.20 0.000049
1898.29 0.000049
1911.38 0.000048
1924.47 0.000047
1937.57 0.000046
1950.66 0.000046
1963.75 0.000045
1976.84 0.000044
1989.93 0.000044
2003.02 0.000043
2016.12 0.000043
2029.21 0.000042
2042.30 0.000042
2055.39 0.000041
2068.48 0.000040
2081.57 0.000040
2094.67 0.000039
2107.76 0.000039
2120.85 0.000038
2133.94 0.000038
2147.03 0.000037
2160.12 0.000037
2173.22 0.000036
2186.31 0.000036
2199.40 0.000035
2212.49 0.000034
2225.58 0.000034
2238.67 0.000033
2251.77 0.000032
2264.86 0.000031
2277.95 0.000030
2291.04 0.000029
2304.13 0.000028
2317.22 0.000027
2330.32 0.000026
2343.41 0.000025
2356.50 0.000024
2369.59 0.000023
2382.68 0.000022
2395.77 0.000021
2408.87 0.000020
2421.96 0.000019
2435.05 0.000018
2448.14 0.000017
2461.23 0.000016
2474.32 0.000016
2487.42 0.000015
2500.51 0.000014
2513.60 0.000014
2526.69 0.000013
2539.78 0.000013
2552.87 0.000013
2565.97 0.000012
2579.06 0.000012
2592.15 0.000012
2605.24 0.000011
