x y
0.00 0.000204
13.47 0.000238
26.94 0.000276
40.41 0.000316
53.88 0.000359
67.35 0.000405
80.82 0.000454
94.29 0.000504
107.75 0.000557
121.22 0.000611
134.69 0.000666
148.16 0.000722
161.63 0.000777
175.10 0.000832
188.57 0.000886
202.04 0.000937
215.51 0.000986
228.98 0.001032
242.45 0.001074
255.92 0.001112
269.39 0.001145
282.86 0.001173
296.33 0.001195
309.79 0.001212
323.26 0.001224
336.73 0.001230
350.20 0.001232
363.67 0.001229
377.14 0.001222
390.61 0.001211
404.08 0.001198
417.55 0.001182
431.02 0.001165
444.49 0.001146
457.96 0.001127
471.43 0.001107
484.90 0.001087
498.37 0.001068
511.84 0.001048
525.30 0.001030
538.77 0.001011
552.24 0.000993
565.71 0.000975
579.18 0.000957
592.65 0.000940
606.12 0.000922
619.59 0.000904
633.06 0.000886
646.53 0.000868
660.00 0.000850
673.47 0.000831
686.94 0.000812
700.41 0.000793
713.88 0.000773
727.34 0.000754
740.81 0.000734
754.28 0.000714
767.75 0.000694
781.22 0.000674
794.69 0.000653
808.16 0.000633
821.63 0.000613
835.10 0.000593
848.57 0.000574
862.04 0.000555
875.51 0.000536
888.98 0.000518
902.45 0.000501
915.92 0.000485
929.38 0.000470
942.85 0.000455
956.32 0.000441
969.79 0.000427
983.26 0.000414
996.73 0.000402
1010.20 0.000389
1023.67 0.000378
1037.14 0.000366
1050.61 0.000355
1064.08 0.000344
1077.55 0.000332
1091.02 0.000321
1104.49 0.000311
1117.96 0.000300
1131.43 0.000290
1144.89 0.000279
1158.36 0.000269
1171.83 0.000259
1185.30 0.000250
1198.77 0.000240
1212.24 0.000232
1225.71 0.000223
1239.18 0.000215
1252.65 0.000207
1266.12 0.000200
1279.59 0.000194
1293.06 0.000188
1306.53 0.000182
1320.00 0.000177
1333.47 0.000173
1346.93 0.000169
1360.40 0.000165
1373.87 0.000162
1387.34 0.000159
1400.81 0.000156
1414.28 0.000153
1427.75 0.000150
1441.22 0.000147
1454.69 0.000143
1468.16 0.000139
1481.63 0.000135
1495.10 0.000131
1508.57 0.000126
1522.04 0.000122
1535.51 0.000117
1548.97 0.000111
1562.44 0.000106
1575.91 0.000101
1589.38 0.000096
1602.85 0.000091
1616.32 0.000087
1629.79 0.000082
1643.26 0.000078
1656.73 0.000075
1670.20 0.000071
1683.67 0.000068
1697.14 0.000066
1710.61 0.000063
1724.08 0.000061
1737.55 0.000059
1751.02 0.000058
1764.48 0.000056
1777.95 0.000055
1791.42 0.000053
1804.89 0.000052
1818.36 0.000051
1831.83 0.000049
1845.30 0.000048
1858.77 0.000047
1872.24 0.000045
1885.71 0.000044
1899.18 0.000042
1912.65 0.000041
1926.12 0.000040
1939.59 0.000039
1953.06 0.000037
1966.52 0.000036
1979.99 0.000035
1993.46 0.000035
2006.93 0.000034
2020.40 0.000033
2033.87 0.000033
2047.34 0.000032
2060.81 0.000032
2074.28 0.000032
2087.75 0.000031
2101.22 0.000031
2114.69 0.000031
2128.16 0.000031
2141.63 0.000031
2155.10 0.000031
2168.56 0.000031
2182.03 0.000031
2195.50 0.000031
2208.97 0.000031
2222.44 0.000030
2235.91 0.000030
2249.38 0.000030
2262.85 0.000030
2276.32 0.000029
2289.79 0.000028
2303.26 0.000028
2316.73 0.000027
2330.20 0.000026
2343.67 0.000025
2357.14 0.000024
2370.61 0.000023
2384.07 0.000022
2397.54 0.000021
2411.01 0.000019
2424.48 0.000018
2437.95 0.000017
2451.42 0.000016
2464.89 0.000015
2478.36 0.000014
2491.83 0.000013
2505.30 0.000012
2518.77 0.000012
2532.24 0.000011
2545.71 0.000011
2559.18 0.000010
2572.65 0.000010
2586.11 0.000010
2599.58 0.000009
2613.05 0.000009
2626.52 0.000009
2639.99 0.000009
2653.46 0.000009
2666.93 0.000009
2680.40 0.000010
