x y
0.00 0.000361
11.75 0.000380
23.50 0.000398
35.26 0.000416
47.01 0.000434
58.76 0.000452
70.51 0.000469
82.27 0.000485
94.02 0.000501
105.77 0.000516
117.52 0.000531
129.28 0.000545
141.03 0.000558
152.78 0.000571
164.53 0.000583
176.29 0.000595
188.04 0.000606
199.79 0.000617
211.54 0.000627
223.30 0.000637
235.05 0.000646
246.80 0.000655
258.55 0.000664
270.31 0.000672
282.06 0.000681
293.81 0.000689
305.56 0.000697
317.32 0.000704
329.07 0.000712
340.82 0.000719
352.57 0.000726
364.32 0.000732
376.08 0.000739
387.83 0.000745
399.58 0.000751
411.33 0.000756
423.09 0.000761
434.84 0.000765
446.59 0.000769
458.34 0.000772
470.10 0.000775
481.85 0.000777
493.60 0.000779
505.35 0.000780
517.11 0.000780
528.86 0.000779
540.61 0.000778
552.36 0.000777
564.12 0.000774
575.87 0.000771
587.62 0.000767
599.37 0.000763
611.13 0.000759
622.88 0.000754
634.63 0.000748
646.38 0.000742
658.14 0.000736
669.89 0.000729
681.64 0.000723
693.39 0.000716
705.14 0.000708
716.90 0.000701
728.65 0.000694
740.40 0.000687
752.15 0.000680
763.91 0.000672
775.66 0.000665
787.41 0.000658
799.16 0.000651
810.92 0.000644
822.67 0.000637
834.42 0.000630
846.17 0.000623
857.93 0.000616
869.68 0.000610
881.43 0.000603
893.18 0.000596
904.94 0.000590
916.69 0.000583
928.44 0.000577
940.19 0.000570
951.95 0.000564
963.70 0.000557
975.45 0.000551
987.20 0.000544
998.96 0.000537
1010.71 0.000530
1022.46 0.000524
1034.21 0.000517
1045.96 0.000510
1057.72 0.000502
1069.47 0.000495
1081.22 0.000488
1092.97 0.000480
1104.73 0.000473
1116.48 0.000465
1128.23 0.000458
1139.98 0.000450
1151.74 0.000442
1163.49 0.000434
1175.24 0.000426
1186.99 0.000418
1198.75 0.000410
1210.50 0.000401
1222.25 0.000393
1234.00 0.000385
1245.76 0.000377
1257.51 0.000369
1269.26 0.000360
1281.01 0.000352
1292.77 0.000344
1304.52 0.000336
1316.27 0.000328
1328.02 0.000320
1339.77 0.000313
1351.53 0.000305
1363.28 0.000298
1375.03 0.000290
1386.78 0.000283
1398.54 0.000276
1410.29 0.000269
1422.04 0.000262
1433.79 0.000256
1445.55 0.000249
1457.30 0.000243
1469.05 0.000237
1480.80 0.000231
1492.56 0.000225
1504.31 0.000220
1516.06 0.000214
1527.81 0.000209
1539.57 0.000204
1551.32 0.000199
1563.07 0.000194
1574.82 0.000190
1586.58 0.000185
1598.33 0.000181
1610.08 0.000177
1621.83 0.000173
1633.59 0.000169
1645.34 0.000165
1657.09 0.000162
1668.84 0.000158
1680.59 0.000155
1692.35 0.000152
1704.10 0.000149
1715.85 0.000146
1727.60 0.000143
1739.36 0.000140
1751.11 0.000137
1762.86 0.000135
1774.61 0.000132
1786.37 0.000130
1798.12 0.000127
1809.87 0.000125
1821.62 0.000123
1833.38 0.000120
1845.13 0.000118
1856.88 0.000116
1868.63 0.000114
1880.39 0.000112
1892.14 0.000109
1903.89 0.000107
1915.64 0.000105
1927.40 0.000103
1939.15 0.000102
1950.90 0.000100
1962.65 0.000098
1974.41 0.000096
1986.16 0.000094
1997.91 0.000092
2009.66 0.000091
2021.41 0.000089
2033.17 0.000087
2044.92 0.000085
2056.67 0.000084
2068.42 0.000082
2080.18 0.000080
2091.93 0.000078
2103.68 0.000077
2115.43 0.000075
2127.19 0.000073
2138.94 0.000071
2150.69 0.000069
2162.44 0.000067
2174.20 0.000065
2185.95 0.000063
2197.70 0.000061
2209.45 0.000059
2221.21 0.000057
2232.96 0.000054
2244.71 0.000052
2256.46 0.000050
2268.22 0.000048
2279.97 0.000046
2291.72 0.000044
2303.47 0.000041
2315.23 0.000039
2326.98 0.000037
2338.73 0.000035
