x y
0.00 0.000098
4.53 0.000107
9.07 0.000116
13.60 0.000126
18.13 0.000137
22.66 0.000148
27.20 0.000161
31.73 0.000174
36.26 0.000189
40.79 0.000205
45.33 0.000222
49.86 0.000241
54.39 0.000261
58.92 0.000282
63.46 0.000306
67.99 0.000331
72.52 0.000357
77.05 0.000386
81.59 0.000417
86.12 0.000449
90.65 0.000484
95.18 0.000521
99.72 0.000560
104.25 0.000601
108.78 0.000644
113.31 0.000690
117.85 0.000737
122.38 0.000787
126.91 0.000838
131.44 0.000891
135.98 0.000946
140.51 0.001002
145.04 0.001060
149.57 0.001119
154.11 0.001180
158.64 0.001240
163.17 0.001302
167.70 0.001364
172.24 0.001426
176.77 0.001488
181.30 0.001549
185.84 0.001610
190.37 0.001669
194.90 0.001728
199.43 0.001785
203.97 0.001841
208.50 0.001895
213.03 0.001947
217.56 0.001996
222.10 0.002043
226.63 0.002088
231.16 0.002130
235.69 0.002170
240.23 0.002207
244.76 0.002241
249.29 0.002272
253.82 0.002301
258.36 0.002327
262.89 0.002350
267.42 0.002370
271.95 0.002387
276.49 0.002402
281.02 0.002415
285.55 0.002424
290.08 0.002432
294.62 0.002437
299.15 0.002439
303.68 0.002440
308.21 0.002438
312.75 0.002434
317.28 0.002428
321.81 0.002419
326.34 0.002409
330.88 0.002397
335.41 0.002383
339.94 0.002367
344.47 0.002350
349.01 0.002331
353.54 0.002310
358.07 0.002288
362.61 0.002264
367.14 0.002239
371.67 0.002213
376.20 0.002186
380.74 0.002157
385.27 0.002128
389.80 0.002099
394.33 0.002068
398.87 0.002037
403.40 0.002006
407.93 0.001974
412.46 0.001942
417.00 0.001910
421.53 0.001878
426.06 0.001846
430.59 0.001815
435.13 0.001783
439.66 0.001752
444.19 0.001721
448.72 0.001690
453.26 0.001659
457.79 0.001629
462.32 0.001600
466.85 0.001570
471.39 0.001541
475.92 0.001512
480.45 0.001484
484.98 0.001456
489.52 0.001428
494.05 0.001400
498.58 0.001373
503.11 0.001346
507.65 0.001318
512.18 0.001291
516.71 0.001265
521.24 0.001238
525.78 0.001211
530.31 0.001185
534.84 0.001159
539.37 0.001133
543.91 0.001107
548.44 0.001082
552.97 0.001057
557.51 0.001032
562.04 0.001008
566.57 0.000985
571.10 0.000961
575.64 0.000939
580.17 0.000917
584.70 0.000896
589.23 0.000875
593.77 0.000855
598.30 0.000836
602.83 0.000817
607.36 0.000799
611.90 0.000781
616.43 0.000764
620.96 0.000748
625.49 0.000732
630.03 0.000717
634.56 0.000702
639.09 0.000688
643.62 0.000674
648.16 0.000660
652.69 0.000646
657.22 0.000633
661.75 0.000620
666.29 0.000607
670.82 0.000594
675.35 0.000581
679.88 0.000568
684.42 0.000556
688.95 0.000543
693.48 0.000530
698.01 0.000517
702.55 0.000504
707.08 0.000491
711.61 0.000477
716.14 0.000464
720.68 0.000450
725.21 0.000437
729.74 0.000423
734.28 0.000409
738.81 0.000395
743.34 0.000381
747.87 0.000366
752.41 0.000352
756.94 0.000338
761.47 0.000324
766.00 0.000310
770.54 0.000296
775.07 0.000282
779.60 0.000268
784.13 0.000255
788.67 0.000242
793.20 0.000229
797.73 0.000216
802.26 0.000204
806.80 0.000193
811.33 0.000182
815.86 0.000171
820.39 0.000161
824.93 0.000151
829.46 0.000142
833.99 0.000133
838.52 0.000125
843.06 0.000118
847.59 0.000111
852.12 0.000104
856.65 0.000098
861.19 0.000092
865.72 0.000087
870.25 0.000082
874.78 0.000077
879.32 0.000073
883.85 0.000069
888.38 0.000065
892.91 0.000062
897.45 0.000059
901.98 0.000056
