x y
0.00 0.000188
13.77 0.000216
27.54 0.000246
41.30 0.000280
55.07 0.000315
68.84 0.000353
82.61 0.000393
96.37 0.000435
110.14 0.000479
123.91 0.000524
137.68 0.000570
151.44 0.000616
165.21 0.000662
178.98 0.000707
192.75 0.000752
206.51 0.000795
220.28 0.000836
234.05 0.000875
247.82 0.000911
261.58 0.000945
275.35 0.000975
289.12 0.001001
302.89 0.001024
316.65 0.001043
330.42 0.001058
344.19 0.001070
357.96 0.001078
371.72 0.001082
385.49 0.001083
399.26 0.001081
413.03 0.001076
426.79 0.001068
440.56 0.001058
454.33 0.001046
468.10 0.001032
481.86 0.001017
495.63 0.001000
509.40 0.000983
523.17 0.000965
536.93 0.000946
550.70 0.000927
564.47 0.000908
578.24 0.000888
592.00 0.000869
605.77 0.000850
619.54 0.000831
633.31 0.000812
647.07 0.000794
660.84 0.000776
674.61 0.000758
688.38 0.000741
702.14 0.000724
715.91 0.000708
729.68 0.000692
743.45 0.000677
757.21 0.000662
770.98 0.000647
784.75 0.000634
798.52 0.000620
812.28 0.000607
826.05 0.000595
839.82 0.000582
853.59 0.000571
867.35 0.000559
881.12 0.000548
894.89 0.000538
908.66 0.000527
922.43 0.000517
936.19 0.000507
949.96 0.000497
963.73 0.000487
977.50 0.000477
991.26 0.000467
1005.03 0.000458
1018.80 0.000448
1032.57 0.000438
1046.33 0.000429
1060.10 0.000419
1073.87 0.000410
1087.64 0.000400
1101.40 0.000391
1115.17 0.000381
1128.94 0.000372
1142.71 0.000362
1156.47 0.000353
1170.24 0.000344
1184.01 0.000335
1197.78 0.000326
1211.54 0.000317
1225.31 0.000308
1239.08 0.000299
1252.85 0.000290
1266.61 0.000281
1280.38 0.000273
1294.15 0.000264
1307.92 0.000256
1321.68 0.000248
1335.45 0.000241
1349.22 0.000233
1362.99 0.000226
1376.75 0.000219
1390.52 0.000213
1404.29 0.000207
1418.06 0.000202
1431.82 0.000196
1445.59 0.000192
1459.36 0.000187
1473.13 0.000183
1486.89 0.000179
1500.66 0.000176
1514.43 0.000172
1528.20 0.000169
1541.96 0.000166
1555.73 0.000163
1569.50 0.000160
1583.27 0.000157
1597.03 0.000155
1610.80 0.000152
1624.57 0.000149
1638.34 0.000146
1652.10 0.000142
1665.87 0.000139
1679.64 0.000136
1693.41 0.000132
1707.17 0.000129
1720.94 0.000125
1734.71 0.000122
1748.48 0.000118
1762.24 0.000115
1776.01 0.000111
1789.78 0.000108
1803.55 0.000105
1817.31 0.000101
1831.08 0.000098
1844.85 0.000095
1858.62 0.000092
1872.39 0.000090
1886.15 0.000087
1899.92 0.000084
1913.69 0.000082
1927.46 0.000080
1941.22 0.000077
1954.99 0.000075
1968.76 0.000073
1982.53 0.000071
1996.29 0.000069
2010.06 0.000067
2023.83 0.000065
2037.60 0.000063
2051.36 0.000061
2065.13 0.000060
2078.90 0.000058
2092.67 0.000056
2106.43 0.000055
2120.20 0.000053
2133.97 0.000052
2147.74 0.000051
2161.50 0.000049
2175.27 0.000048
2189.04 0.000047
2202.81 0.000046
2216.57 0.000044
2230.34 0.000043
2244.11 0.000042
2257.88 0.000041
2271.64 0.000040
2285.41 0.000039
2299.18 0.000038
2312.95 0.000037
2326.71 0.000036
2340.48 0.000035
2354.25 0.000034
2368.02 0.000033
2381.78 0.000032
2395.55 0.000031
2409.32 0.000030
2423.09 0.000029
2436.85 0.000028
2450.62 0.000027
2464.39 0.000026
2478.16 0.000025
2491.92 0.000024
2505.69 0.000023
2519.46 0.000022
2533.23 0.000021
2546.99 0.000020
2560.76 0.000019
2574.53 0.000018
2588.30 0.000017
2602.06 0.000017
2615.83 0.000016
2629.60 0.000015
2643.37 0.000015
2657.13 0.000014
2670.90 0.000014
2684.67 0.000014
2698.44 0.000013
2712.20 0.000013
2725.97 0.000013
2739.74 0.000013
