x y
0.00 0.000102
12.07 0.000117
24.14 0.000133
36.21 0.000151
48.28 0.000170
60.35 0.000191
72.42 0.000213
84.49 0.000238
96.56 0.000263
108.63 0.000291
120.70 0.000320
132.77 0.000350
144.84 0.000382
156.91 0.000416
168.98 0.000451
181.04 0.000487
193.11 0.000524
205.18 0.000562
217.25 0.000601
229.32 0.000640
241.39 0.000679
253.46 0.000719
265.53 0.000758
277.60 0.000796
289.67 0.000834
301.74 0.000870
313.81 0.000905
325.88 0.000939
337.95 0.000970
350.02 0.000999
362.09 0.001025
374.16 0.001049
386.23 0.001071
398.30 0.001089
410.37 0.001105
422.44 0.001117
434.51 0.001127
446.58 0.001135
458.65 0.001139
470.72 0.001142
482.79 0.001142
494.86 0.001140
506.93 0.001136
518.99 0.001131
531.06 0.001124
543.13 0.001116
555.20 0.001108
567.27 0.001098
579.34 0.001088
591.41 0.001077
603.48 0.001066
615.55 0.001055
627.62 0.001043
639.69 0.001032
651.76 0.001020
663.83 0.001007
675.90 0.000995
687.97 0.000982
700.04 0.000969
712.11 0.000955
724.18 0.000941
736.25 0.000926
748.32 0.000911
760.39 0.000895
772.46 0.000879
784.53 0.000862
796.60 0.000845
808.67 0.000827
820.74 0.000809
832.81 0.000791
844.88 0.000772
856.95 0.000753
869.01 0.000733
881.08 0.000714
893.15 0.000695
905.22 0.000676
917.29 0.000657
929.36 0.000639
941.43 0.000621
953.50 0.000603
965.57 0.000586
977.64 0.000569
989.71 0.000553
1001.78 0.000537
1013.85 0.000522
1025.92 0.000507
1037.99 0.000493
1050.06 0.000480
1062.13 0.000467
1074.20 0.000455
1086.27 0.000443
1098.34 0.000432
1110.41 0.000421
1122.48 0.000410
1134.55 0.000400
1146.62 0.000390
1158.69 0.000381
1170.76 0.000371
1182.83 0.000362
1194.90 0.000353
1206.96 0.000345
1219.03 0.000336
1231.10 0.000327
1243.17 0.000319
1255.24 0.000310
1267.31 0.000301
1279.38 0.000293
1291.45 0.000284
1303.52 0.000275
1315.59 0.000267
1327.66 0.000258
1339.73 0.000249
1351.80 0.000240
1363.87 0.000232
1375.94 0.000223
1388.01 0.000215
1400.08 0.000206
1412.15 0.000198
1424.22 0.000191
1436.29 0.000183
1448.36 0.000176
1460.43 0.000169
1472.50 0.000162
1484.57 0.000156
1496.64 0.000150
1508.71 0.000145
1520.78 0.000139
1532.85 0.000134
1544.91 0.000130
1556.98 0.000125
1569.05 0.000121
1581.12 0.000117
1593.19 0.000113
1605.26 0.000110
1617.33 0.000106
1629.40 0.000103
1641.47 0.000099
1653.54 0.000096
1665.61 0.000092
1677.68 0.000089
1689.75 0.000085
1701.82 0.000081
1713.89 0.000078
1725.96 0.000074
1738.03 0.000071
1750.10 0.000067
1762.17 0.000064
1774.24 0.000060
1786.31 0.000057
1798.38 0.000053
1810.45 0.000050
1822.52 0.000047
1834.59 0.000044
1846.66 0.000041
1858.73 0.000039
1870.80 0.000036
1882.87 0.000034
1894.93 0.000032
1907.00 0.000029
1919.07 0.000028
1931.14 0.000026
1943.21 0.000024
1955.28 0.000023
1967.35 0.000021
1979.42 0.000020
1991.49 0.000019
2003.56 0.000018
2015.63 0.000017
2027.70 0.000016
2039.77 0.000016
2051.84 0.000015
2063.91 0.000015
2075.98 0.000014
2088.05 0.000014
2100.12 0.000014
2112.19 0.000013
2124.26 0.000013
2136.33 0.000013
2148.40 0.000013
2160.47 0.000012
2172.54 0.000012
2184.61 0.000012
2196.68 0.000012
2208.75 0.000011
2220.82 0.000011
2232.88 0.000011
2244.95 0.000011
2257.02 0.000011
2269.09 0.000010
2281.16 0.000010
2293.23 0.000010
2305.30 0.000010
2317.37 0.000010
2329.44 0.000010
2341.51 0.000010
2353.58 0.000010
2365.65 0.000010
2377.72 0.000010
2389.79 0.000011
2401.86 0.000011
