x y
0.00 0.000269
8.79 0.000317
17.58 0.000370
26.37 0.000427
35.16 0.000487
43.95 0.000551
52.74 0.000618
61.53 0.000688
70.32 0.000760
79.11 0.000834
87.90 0.000909
96.69 0.000985
105.49 0.001062
114.28 0.001139
123.07 0.001215
131.86 0.001289
140.65 0.001361
149.44 0.001430
158.23 0.001494
167.02 0.001554
175.81 0.001609
184.60 0.001658
193.39 0.001700
202.18 0.001737
210.97 0.001767
219.76 0.001790
228.55 0.001807
237.34 0.001819
246.13 0.001824
254.92 0.001824
263.71 0.001818
272.50 0.001809
281.29 0.001794
290.08 0.001776
298.88 0.001755
307.67 0.001731
316.46 0.001704
325.25 0.001676
334.04 0.001646
342.83 0.001614
351.62 0.001582
360.41 0.001549
369.20 0.001515
377.99 0.001482
386.78 0.001448
395.57 0.001415
404.36 0.001382
413.15 0.001350
421.94 0.001318
430.73 0.001287
439.52 0.001256
448.31 0.001226
457.10 0.001197
465.89 0.001169
474.68 0.001141
483.47 0.001114
492.27 0.001087
501.06 0.001061
509.85 0.001035
518.64 0.001009
527.43 0.000983
536.22 0.000958
545.01 0.000933
553.80 0.000909
562.59 0.000885
571.38 0.000861
580.17 0.000837
588.96 0.000814
597.75 0.000791
606.54 0.000768
615.33 0.000746
624.12 0.000724
632.91 0.000702
641.70 0.000681
650.49 0.000661
659.28 0.000641
668.07 0.000621
676.86 0.000602
685.66 0.000583
694.45 0.000565
703.24 0.000548
712.03 0.000531
720.82 0.000514
729.61 0.000498
738.40 0.000483
747.19 0.000468
755.98 0.000453
764.77 0.000439
773.56 0.000425
782.35 0.000412
791.14 0.000399
799.93 0.000386
808.72 0.000374
817.51 0.000363
826.30 0.000352
835.09 0.000341
843.88 0.000330
852.67 0.000320
861.46 0.000310
870.25 0.000301
879.05 0.000291
887.84 0.000282
896.63 0.000273
905.42 0.000265
914.21 0.000257
923.00 0.000249
931.79 0.000242
940.58 0.000235
949.37 0.000228
958.16 0.000221
966.95 0.000215
975.74 0.000209
984.53 0.000204
993.32 0.000199
1002.11 0.000193
1010.90 0.000188
1019.69 0.000184
1028.48 0.000179
1037.27 0.000175
1046.06 0.000170
1054.85 0.000166
1063.64 0.000162
1072.44 0.000157
1081.23 0.000153
1090.02 0.000149
1098.81 0.000144
1107.60 0.000139
1116.39 0.000135
1125.18 0.000130
1133.97 0.000125
1142.76 0.000120
1151.55 0.000115
1160.34 0.000111
1169.13 0.000106
1177.92 0.000102
1186.71 0.000098
1195.50 0.000094
1204.29 0.000090
1213.08 0.000087
1221.87 0.000084
1230.66 0.000082
1239.45 0.000079
1248.24 0.000077
1257.03 0.000075
1265.83 0.000073
1274.62 0.000071
1283.41 0.000070
1292.20 0.000068
1300.99 0.000067
1309.78 0.000066
1318.57 0.000065
1327.36 0.000064
1336.15 0.000063
1344.94 0.000062
1353.73 0.000062
1362.52 0.000061
1371.31 0.000061
1380.10 0.000060
1388.89 0.000060
1397.68 0.000060
1406.47 0.000059
1415.26 0.000059
1424.05 0.000058
1432.84 0.000057
1441.63 0.000057
1450.42 0.000056
1459.22 0.000055
1468.01 0.000055
1476.80 0.000054
1485.59 0.000053
1494.38 0.000052
1503.17 0.000051
1511.96 0.000049
1520.75 0.000048
1529.54 0.000046
1538.33 0.000045
1547.12 0.000043
1555.91 0.000041
1564.70 0.000040
1573.49 0.000038
1582.28 0.000036
1591.07 0.000034
1599.86 0.000033
1608.65 0.000031
1617.44 0.000030
1626.23 0.000028
1635.02 0.000027
1643.81 0.000026
1652.61 0.000025
1661.40 0.000024
1670.19 0.000023
1678.98 0.000023
1687.77 0.000022
1696.56 0.000021
1705.35 0.000021
1714.14 0.000020
1722.93 0.000020
1731.72 0.000019
1740.51 0.000019
1749.30 0.000018
